"filename", "language", "JavaScript JSX", "JSON", "Markdown", "JavaScript", "CSS", "XML", "HTML", "comment", "blank", "total"
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\Reports.jsx", "JavaScript JSX", 145, 0, 0, 0, 0, 0, 0, 3, 7, 155
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\ReviewManagement.jsx", "JavaScript JSX", 318, 0, 0, 0, 0, 0, 0, 7, 28, 353
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\TourGuide.jsx", "JavaScript JSX", 176, 0, 0, 0, 0, 0, 0, 7, 9, 192
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\TourGuidePayments.jsx", "JavaScript JSX", 320, 0, 0, 0, 0, 0, 0, 16, 19, 355
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\TourGuideReports.jsx", "JavaScript JSX", 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\UIManage.jsx", "JavaScript JSX", 58, 0, 0, 0, 0, 0, 0, 0, 5, 63
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\Users.jsx", "JavaScript JSX", 139, 0, 0, 0, 0, 0, 0, 6, 8, 153
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\VehicleListing.jsx", "JavaScript JSX", 58, 0, 0, 0, 0, 0, 0, 0, 5, 63
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\BookingPage.jsx", "JavaScript JSX", 371, 0, 0, 0, 0, 0, 0, 2, 23, 396
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\ContactUs.jsx", "JavaScript JSX", 352, 0, 0, 0, 0, 0, 0, 14, 20, 386
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Dashboard.jsx", "JavaScript JSX", 33, 0, 0, 0, 0, 0, 0, 1, 4, 38
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Home.jsx", "JavaScript JSX", 227, 0, 0, 0, 0, 0, 0, 3, 15, 245
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\HotelCollection.jsx", "JavaScript JSX", 65, 0, 0, 0, 0, 0, 0, 0, 6, 71
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\HotelDetails.jsx", "JavaScript JSX", 148, 0, 0, 0, 0, 0, 0, 6, 12, 166
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\HotelListingsService.jsx", "JavaScript JSX", 103, 0, 0, 0, 0, 0, 0, 6, 6, 115
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\HotelProviderRegister.jsx", "JavaScript JSX", 125, 0, 0, 0, 0, 0, 0, 0, 8, 133
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Login.jsx", "JavaScript JSX", 120, 0, 0, 0, 0, 0, 0, 4, 8, 132
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\PaymentPage.jsx", "JavaScript JSX", 333, 0, 0, 0, 0, 0, 0, 6, 23, 362
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\ServiceProviderLogin.jsx", "JavaScript JSX", 161, 0, 0, 0, 0, 0, 0, 0, 10, 171
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\ServiceProviderRegister.jsx", "JavaScript JSX", 144, 0, 0, 0, 0, 0, 0, 0, 11, 155
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\SignIn.jsx", "JavaScript JSX", 198, 0, 0, 0, 0, 0, 0, 0, 11, 209
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\TourGuidePaymentPage.jsx", "JavaScript JSX", 192, 0, 0, 0, 0, 0, 0, 0, 23, 215
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\TourGuideProfile.jsx", "JavaScript JSX", 155, 0, 0, 0, 0, 0, 0, 10, 13, 178
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\TourGuideRegister.jsx", "JavaScript JSX", 134, 0, 0, 0, 0, 0, 0, 2, 9, 145
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\TourGuides.jsx", "JavaScript JSX", 155, 0, 0, 0, 0, 0, 0, 5, 15, 175
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\TourGuidesService.jsx", "JavaScript JSX", 106, 0, 0, 0, 0, 0, 0, 6, 6, 118
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\VehicleDetailPage.jsx", "JavaScript JSX", 224, 0, 0, 0, 0, 0, 0, 9, 15, 248
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\VehicleListingsService.jsx", "JavaScript JSX", 103, 0, 0, 0, 0, 0, 0, 6, 6, 115
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\VehicleProviderRegister.jsx", "JavaScript JSX", 125, 0, 0, 0, 0, 0, 0, 0, 8, 133
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\VehicleRentPage.jsx", "JavaScript JSX", 293, 0, 0, 0, 0, 0, 0, 0, 28, 321
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\VehiclesPage.jsx", "JavaScript JSX", 57, 0, 0, 0, 0, 0, 0, 3, 6, 66
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\hotel\AddHotel.jsx", "JavaScript JSX", 325, 0, 0, 0, 0, 0, 0, 0, 18, 343
