"filename", "language", "JSON", "JavaScript", "JavaScript JSX", "Markdown", "CSS", "XML", "HTML", "comment", "blank", "total"
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\AdminRegister.jsx", "JavaScript JSX", 0, 0, 137, 0, 0, 0, 0, 0, 10, 147
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\ContactInquiries.jsx", "JavaScript JSX", 0, 0, 127, 0, 0, 0, 0, 1, 9, 137
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\HotelListing.jsx", "JavaScript JSX", 0, 0, 152, 0, 0, 0, 0, 5, 6, 163
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\HotelOwnerDetails.jsx", "JavaScript JSX", 0, 0, 74, 0, 0, 0, 0, 1, 5, 80
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\HotelOwnerList.jsx", "JavaScript JSX", 0, 0, 81, 0, 0, 0, 0, 0, 5, 86
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\Reports.jsx", "JavaScript JSX", 0, 0, 302, 0, 0, 0, 0, 3, 16, 321
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\ReviewManagement.jsx", "JavaScript JSX", 0, 0, 326, 0, 0, 0, 0, 7, 28, 361
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\TourGuide.jsx", "JavaScript JSX", 0, 0, 239, 0, 0, 0, 0, 8, 10, 257
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\TourGuidePayments.jsx", "JavaScript JSX", 0, 0, 357, 0, 0, 0, 0, 19, 20, 396
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\TourGuideReports.jsx", "JavaScript JSX", 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\UIManage.jsx", "JavaScript JSX", 0, 0, 58, 0, 0, 0, 0, 0, 5, 63
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\Users.jsx", "JavaScript JSX", 0, 0, 124, 0, 0, 0, 0, 3, 7, 134
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\VehicleListing.jsx", "JavaScript JSX", 0, 0, 141, 0, 0, 0, 0, 1, 6, 148
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\BookingPage.jsx", "JavaScript JSX", 0, 0, 371, 0, 0, 0, 0, 2, 23, 396
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\ContactUs.jsx", "JavaScript JSX", 0, 0, 352, 0, 0, 0, 0, 14, 20, 386
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Dashboard.jsx", "JavaScript JSX", 0, 0, 33, 0, 0, 0, 0, 1, 4, 38
